,restaurant_id,restaurant_name,length,ave_rating,popularity,topic_id,topic_words
20,20,Mamak檔星馬料理 忠孝店,840,4.1,4633,7,"['""服務"" ', '""味道"" ', '""餐點"" ', '""義大利麵"" ', '""調酒"" ', '""喜歡"" ', '""推薦"" ', '""用餐"" ', '""餐廳"" ', '""食物""']"
21,21,Campus Cafe,840,4.0,2892,5,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""環境"" ', '""份量"" ', '""適合"" ', '""味道"" ', '""燉飯"" ', '""餐廳"" ', '""套餐""']"
22,22,南門市場,840,4.2,13257,18,"['""咖哩"" ', '""市場"" ', '""味道"" ', '""南門"" ', '""料理"" ', '""乾淨"" ', '""師傅"" ', '""用餐"" ', '""服務"" ', '""新鮮""']"
23,23,美好年代,840,3.9,2114,17,"['""鬆餅"" ', '""服務"" ', '""店員"" ', '""舒芙蕾"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""環境"" ', '""態度"" ', '""珍珠""']"
24,24,Drunk Cafe爛醉咖啡,840,3.8,1385,1,"['""餐點"" ', '""服務"" ', '""適合"" ', '""環境"" ', '""用餐"" ', '""食物"" ', '""餐廳"" ', '""味道"" ', '""喜歡"" ', '""咖啡""']"
25,25,杭州小籠湯包,840,3.8,6952,9,"['""鴨血"" ', '""服務"" ', '""豆腐"" ', '""麻辣鍋"" ', '""麻辣"" ', '""味道"" ', '""湯包"" ', '""湯頭"" ', '""用餐"" ', '""價格""']"
26,26,這一鍋 信義殿,840,4.4,3084,3,"['""服務"" ', '""新鮮"" ', '""用餐"" ', '""店員"" ', '""態度"" ', '""親切"" ', '""品質"" ', '""東西"" ', '""客人"" ', '""肉質""']"
27,27,Mosun 墨賞新鐵板料理餐廳,840,4.5,3954,11,"['""服務"" ', '""用餐"" ', '""餐點"" ', '""漢堡排"" ', '""甜點"" ', '""新鮮"" ', '""海鮮"" ', '""味道"" ', '""餐廳"" ', '""感覺""']"
28,28,鼎泰豊,840,4.5,5530,7,"['""服務"" ', '""味道"" ', '""餐點"" ', '""義大利麵"" ', '""調酒"" ', '""喜歡"" ', '""推薦"" ', '""用餐"" ', '""餐廳"" ', '""食物""']"
29,29,凱恩斯岩燒餐廳,840,4.5,4642,11,"['""服務"" ', '""用餐"" ', '""餐點"" ', '""漢堡排"" ', '""甜點"" ', '""新鮮"" ', '""海鮮"" ', '""味道"" ', '""餐廳"" ', '""感覺""']"
30,30,遠東Café (香格里拉遠東飯店),840,4.4,7460,11,"['""服務"" ', '""用餐"" ', '""餐點"" ', '""漢堡排"" ', '""甜點"" ', '""新鮮"" ', '""海鮮"" ', '""味道"" ', '""餐廳"" ', '""感覺""']"
